ts,battery_level,battery_voltage,clock_invalid,humidity,light_lux,light_percent,temperature,weight_grams,delta_w,delta_w_10,rolling_std_5,rolling_std_10,rolling_mean_5,net_weight,is_plateau,plateau_duration_s,hour_sin,hour_cos,dia_semana_sin,delta_w_30,rolling_std_30,session_gap_s,weight_zscore,trend_slope,cluster_ganador,anomaly_lof,score_lof
2026-05-28 18:47:00+00:00,,,1.0,38.40000153,14.66300011,1.0,19.79999924,146.0,0.0,-0.2,0.0,0.9660917830737721,146.0,0.0,1,1770,-0.6658816660008342,-0.7460573750616997,0.43388373911755823,-2.0,0.8603661342984749,1770.0,-0.7172931293760014,-0.25454545454545335,1,-1,1.679305503150358
2026-05-28 18:47:30+00:00,,,1.0,38.40000153,14.66300011,1.0,19.79999924,146.0,0.0,-0.2,0.0,0.8432740427052158,146.0,0.0,1,1800,-0.6658816660008342,-0.7460573750616997,0.43388373911755823,-2.0,0.8995528902119585,1800.0,-0.7129217370707209,-0.19393939393938495,1,-1,1.5437154256362837
2026-05-28 18:48:00+00:00,,,1.0,38.40000153,14.66300011,1.0,19.70000076,146.0,0.0,-0.2,0.0,0.6324555320251802,146.0,0.0,1,1830,-0.6691306063588582,-0.7431448254773942,0.43388373911755823,-2.0,0.932183199393137,1830.0,-0.7085741168615844,-0.10909090909090415,1,-1,1.3926882772045066
2026-05-28 18:58:30+00:00,,,1.0,38.29999924,15.64000034,2.0,19.70000076,146.0,0.0,0.0,0.0,0.0,146.0,0.0,1,2460,-0.7009092642998509,-0.7132504491541817,0.43388373911755823,-2.0,0.0,2460.0,-0.622225376954938,-1.959248429294617e-15,1,-1,2.4667959753798057
2026-05-28 19:41:30+00:00,,,1.0,38.09999847,14.66300011,1.0,19.79999924,146.0,0.0,0.0,0.0,0.0,146.0,0.0,1,5040,-0.8216469379421638,-0.5699967625963028,0.43388373911755823,0.0,0.0,5040.0,-0.18491998889143882,-1.959248429294617e-15,1,-1,1.4343640357773566
2026-05-28 19:42:00+00:00,,,1.0,38.09999847,14.66300011,1.0,19.79999924,146.0,0.0,0.0,0.0,0.0,146.0,0.0,1,5070,-0.8241261886220151,-0.5664062369248336,0.43388373911755823,0.0,0.0,5070.0,-0.15945955731852404,-1.959248429294617e-15,1,-1,1.5376821865565857
2026-05-28 19:42:30+00:00,,,1.0,38.09999847,14.66300011,1.0,19.79999924,146.0,0.0,0.0,0.0,0.0,146.0,0.0,1,5100,-0.8241261886220151,-0.5664062369248336,0.43388373911755823,0.0,0.0,5100.0,-0.12964532231232945,-1.959248429294617e-15,1,-1,1.544028080081253
2026-05-28 19:43:00+00:00,,,1.0,38.09999847,14.66300011,1.0,19.79999924,146.0,0.0,0.0,0.0,0.0,146.0,0.0,1,5130,-0.8265897491271885,-0.5628049276950688,0.43388373911755823,0.0,0.0,5130.0,-0.09128709287947885,-1.959248429294617e-15,1,-1,1.3942723130648833
2026-05-28 21:44:00+00:00,,,1.0,37.70000076,13.68500042,1.0,20.10000038,144.0,0.0,0.0,0.0,0.0,144.0,0.0,1,12390,-0.9975640502598242,-0.06975647374412558,0.43388373911755823,0.0,0.0,12390.0,-0.18491998888196626,2.7626070783759735e-15,1,-1,1.4319944554602329
2026-05-28 21:44:30+00:00,,,1.0,37.70000076,13.68500042,1.0,20.10000038,144.0,0.0,0.0,0.0,0.0,144.0,0.0,1,12420,-0.9975640502598242,-0.06975647374412558,0.43388373911755823,0.0,0.0,12420.0,-0.15945955730772599,2.7626070783759735e-15,1,-1,1.5398104122234808
2026-05-28 21:45:00+00:00,,,1.0,37.70000076,6.842999935,1.0,20.10000038,144.0,0.0,0.0,0.0,0.0,144.0,0.0,1,12450,-0.9978589232386035,-0.06540312923014273,0.43388373911755823,0.0,0.0,12450.0,-0.1296453222992723,2.7626070783759735e-15,1,-1,1.5380304917291618
2026-05-28 21:45:30+00:00,,,1.0,37.70000076,13.68500042,1.0,20.10000038,144.0,0.0,0.0,0.0,0.0,144.0,0.0,1,12480,-0.9978589232386035,-0.06540312923014273,0.43388373911755823,0.0,0.0,12480.0,-0.09128709286124559,2.7626070783759735e-15,1,-1,1.3920440264167908
2026-05-28 23:26:00+00:00,,,1.0,37.40000153,6.842999935,1.0,20.29999924,145.0,-2.0,0.1,1.3038404810415152,0.9660917830735698,144.8,1.0,1,18390,-0.9304175679820244,0.3665012267242977,0.43388373911755823,1.0,0.5713464636971958,18510.0,3.3571055467587887,0.18181818181818257,1,-1,2.4527011877623464
2026-05-28 23:26:30+00:00,,,1.0,37.40000153,13.68500042,1.0,20.29999924,145.0,0.0,0.1,1.224744871392637,0.9718253158018677,145.0,1.0,1,18420,-0.9304175679820244,0.3665012267242977,0.43388373911755823,1.0,0.5920934998916714,18540.0,3.1823344022391935,0.18787878787879286,1,-1,1.9880398908907728
2026-05-28 23:27:00+00:00,,,1.0,37.40000153,6.842999935,1.0,20.29999924,145.0,0.0,0.1,1.0954451150115034,0.9660917830735899,145.2,1.0,1,18450,-0.9288095528719245,0.37055743750983555,0.43388373911755823,1.0,0.610257153234547,18570.0,3.029731588846061,0.18181818181818304,1,-1,1.8564404934971226
2026-05-28 23:27:30+00:00,,,1.0,37.40000153,13.68500042,1.0,20.29999924,145.0,0.0,0.1,0.8944271910013532,0.9486832980447135,145.4,1.0,1,18480,-0.9288095528719245,0.37055743750983555,0.43388373911755823,1.0,0.6260623155558754,18600.0,2.894870021825826,0.16363636363635914,1,-1,1.7191445425908594
2026-05-28 23:28:00+00:00,,,1.0,37.40000153,13.68500042,1.0,20.29999924,145.0,0.0,0.1,0.0,0.9189365834667059,145.0,1.0,1,18510,-0.9271838545667874,0.37460659341591196,0.43388373911755823,1.0,0.6396838299267246,18630.0,2.774471078638261,0.13333333333333705,1,-1,1.5252242777422
2026-05-28 23:28:30+00:00,,,1.0,37.40000153,13.68500042,1.0,20.29999924,145.0,0.0,0.1,0.0,0.875595035764655,145.0,1.0,1,18540,-0.9271838545667874,0.37460659341591196,0.43388373911755823,1.0,0.6512587281607425,18660.0,2.6660475934830883,0.09090909090909077,1,-1,1.4256951956996888
2026-05-29 00:02:30+00:00,,,1.0,37.70000076,13.68500042,1.0,20.5,140.0,0.0,0.0,0.0,0.0,140.0,0.0,1,780,-0.8616291604415255,0.5075383629607045,0.43388373911755823,-10.0,0.0,780.0,-1.1051541075006734,-6.601659035313344e-15,1,-1,1.7904537850337074
2026-05-29 00:24:00+00:00,,,1.0,37.79999924,6.842999935,1.0,20.5,141.0,0.0,0.1,0.0,2.1081851067762134,141.0,1.0,1,30,-0.8090169943749481,0.5877852522924722,0.43388373911755823,1.0,1.5161960871418076,30.0,-0.4521147850173529,-0.1212121212121216,1,-1,1.747076245358571
2026-05-29 00:24:30+00:00,,,1.0,37.79999924,6.842999935,1.0,20.5,141.0,0.0,0.1,0.0,2.0248456731288464,141.0,1.0,1,60,-0.8090169943749481,0.5877852522924722,0.43388373911755823,1.0,1.5120207989652092,60.0,-0.4460540550745389,-0.3090909090909099,1,-1,1.522119354251311
2026-05-29 00:26:30+00:00,,,1.0,37.79999924,13.68500042,1.0,20.5,141.0,0.0,-0.4,0.0,0.0,141.0,1.0,1,180,-0.8038568606172173,0.5948227867513414,0.43388373911755823,1.0,1.4874957741497319,180.0,-0.4145349910160964,6.1894241274367065e-15,1,-1,1.5734303922783621
2026-05-29 00:33:00+00:00,,,1.0,37.79999924,13.68500042,1.0,20.5,139.0,-2.0,-0.2,0.8944271910013919,0.6324555320244677,140.6,-1.0,1,570,-0.785316930880745,0.619093949309834,0.43388373911755823,-1.0,1.3746472901687032,570.0,-0.7811891001893575,-0.10909090909091002,1,-1,2.100685615391606
2026-05-29 00:35:30+00:00,,,1.0,37.79999924,13.68500042,1.0,20.5,139.0,0.0,-0.2,0.0,1.0327955589829203,139.0,-0.9000000000000057,1,720,-0.7798844830928816,0.6259234721840593,0.43388373911755823,-6.0,1.3829836145499104,720.0,-0.720524470829491,-0.2909090909090929,1,-1,1.5877014175768778
2026-05-29 00:36:00+00:00,,,1.0,37.79999924,13.68500042,1.0,20.5,139.0,0.0,-0.2,0.0,0.9660917830731577,139.0,0.0,1,750,-0.7771459614569702,0.6293203910498382,0.43388373911755823,-6.0,1.1841869998130656,750.0,-0.7087264694884534,-0.2545454545454553,1,-1,1.5620620869792035
2026-05-29 00:36:30+00:00,,,1.0,37.79999924,13.68500042,1.0,20.5,139.0,0.0,-0.2,0.0,0.8432740427045119,139.0,0.0,1,780,-0.7771459614569702,0.6293203910498382,0.43388373911755823,-6.0,0.8995528901900887,780.0,-0.6970281773670283,-0.19393939393939086,1,-1,1.778347859253568
2026-05-29 00:47:30+00:00,,,1.0,37.90000153,13.68500042,1.0,20.5,139.0,0.0,0.0,0.0,0.0,139.0,0.0,1,1440,-0.7460573750616991,0.6658816660008348,0.43388373911755823,-2.0,0.0,1440.0,-1.0261087635488395,-8.736177444590827e-16,1,-1,2.072335117694575
2026-05-29 01:05:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,3.0,0.3,1.3416407865008604,0.9486832980442338,139.6,3.0,1,2490,-0.6915130557822698,0.7223639620597551,0.43388373911755823,3.0,0.5477225574532482,2520.0,1.9057285720983719,0.16363636363636266,1,-1,1.4009248846081812
2026-05-29 01:07:00+00:00,,,1.0,37.90000153,13.68500042,1.0,20.60000038,142.0,0.0,0.3,1.3416407865008604,1.5491933384791579,141.4,3.0,1,30,-0.6851829903263593,0.7283709698824,0.43388373911755823,3.0,1.0372377108986426,30.0,1.784957066883042,0.43636363636363834,1,-1,1.380756763078558
2026-05-29 01:07:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,0.0,0.3,0.0,1.5811388300804672,142.0,3.0,1,60,-0.6851829903263593,0.7283709698824,0.43388373911755823,3.0,1.1371470653442943,60.0,1.748214680405785,0.4545454545454582,1,-1,1.5341194255190294
2026-05-29 01:08:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,0.0,0.3,0.0,1.5491933384791796,142.0,3.0,1,90,-0.6819983600624989,0.7313537016191701,0.43388373911755823,3.0,1.2205143064952617,90.0,1.7130048643824063,0.4363636363636327,1,-1,1.5152605275258195
2026-05-29 01:08:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,0.0,0.3,0.0,1.449137674614907,142.0,3.0,1,120,-0.6819983600624989,0.7313537016191701,0.43388373911755823,3.0,1.2905492014354434,120.0,1.6792137620056424,0.38181818181818333,1,-1,1.5613725606833655
2026-05-29 01:09:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,0.0,0.3,0.0,1.2649110640627446,142.0,3.0,1,150,-0.6788007455329417,0.7343225094356856,0.43388373911755823,3.0,1.3493293353067268,150.0,1.6467389835947701,0.29090909090909567,1,-1,1.469937835491166
2026-05-29 01:09:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,142.0,0.0,0.3,0.0,0.9486832980444002,142.0,3.0,1,180,-0.6788007455329417,0.7343225094356856,0.43388373911755823,3.0,1.3982747990793893,180.0,1.6154881573052802,0.16363636363636497,1,-1,1.3971081305901492
2026-05-29 01:10:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,-2.0,-0.2,0.8944271910013919,0.6324555320245221,141.6,1.0,1,240,-0.6755902076156598,0.7372773368101244,0.43388373911755823,1.0,1.4259499757289624,240.0,0.04492973232568047,-0.109090909090902,1,-1,1.8123304916282283
2026-05-29 01:11:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,-0.2,1.0954451150115352,0.8432740427046728,141.2,1.0,1,270,-0.6723668074346685,0.7402181274868317,0.43388373911755823,1.0,1.412587094234845,270.0,0.04492973232568047,-0.19393939393939483,1,-1,1.4038134804462794
2026-05-29 01:12:30+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,-0.2,0.0,1.0540925533838692,140.0,1.0,1,360,-0.6691306063588588,0.7431448254773937,0.43388373911755823,1.0,1.3666806839575987,360.0,0.04492973232568047,-0.30303030303030115,1,-1,1.5046570607926166
2026-05-29 01:13:00+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,-0.2,0.0,1.0327955589829156,140.0,1.0,1,390,-0.6658816660008344,0.7460573750616993,0.43388373911755823,1.0,1.3493293353074975,390.0,0.04492973232568047,-0.29090909090908856,1,-1,1.4868498035621553
2026-05-29 01:13:30+00:00,,,1.0,38.0,6.842999935,1.0,20.60000038,140.0,0.0,-0.2,0.0,0.9660917830731464,140.0,1.0,1,420,-0.6658816660008344,0.7460573750616993,0.43388373911755823,1.0,1.3308885632408238,420.0,0.04492973232568047,-0.25454545454544825,1,-1,1.4354175293765992
2026-05-29 01:14:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,-0.2,0.0,0.8432740427044919,140.0,1.0,1,450,-0.6626200482157372,0.7489557207890024,0.43388373911755823,1.0,1.3113124074126514,450.0,0.04492973232568047,-0.19393939393939152,1,-1,1.3980843303659278
2026-05-29 01:18:00+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,690,-0.6494480483301834,0.760405965600031,0.43388373911755823,1.0,1.105888107223248,690.0,0.04492973232568047,-6.601659035313344e-15,1,-1,1.436278306681347
2026-05-29 01:18:30+00:00,,,1.0,38.0,13.68500042,1.0,20.60000038,140.0,0.0,0.0,0.0,0.0,140.0,1.0,1,720,-0.6494480483301834,0.760405965600031,0.43388373911755823,1.0,1.0726484571352075,720.0,0.04492973232568047,-6.601659035313344e-15,1,-1,1.5845218907585559
